temporada,episodio,nome_frame,cor_1_rgb,proporcao_cor_1,cor_2_rgb,proporcao_cor_2,cor_3_rgb,proporcao_cor_3,cor_4_rgb,proporcao_cor_4,cor_5_rgb,proporcao_cor_5
s01,e01,frame_000000.png,"[0, 0, 0]",1.0,,,,,,,,
s01,e01,frame_000001.png,"[0, 0, 0]",0.9732,"[5, 24, 33]",0.0141,"[156, 235, 235]",0.0048,"[62, 119, 127]",0.0042,"[116, 186, 191]",0.0037
s01,e01,frame_000002.png,"[1, 0, 3]",0.9836,"[14, 16, 18]",0.0102,"[196, 195, 197]",0.0023,"[89, 89, 91]",0.0021,"[155, 155, 157]",0.0018
s01,e01,frame_000003.png,"[1, 0, 3]",0.7614,"[4, 5, 8]",0.1334,"[10, 15, 17]",0.0504,"[19, 29, 33]",0.0357,"[31, 45, 54]",0.0191
s01,e01,frame_000004.png,"[0, 0, 1]",0.543,"[5, 9, 13]",0.1965,"[14, 23, 31]",0.1858,"[26, 43, 53]",0.0674,"[60, 87, 89]",0.0073
s01,e01,frame_000005.png,"[0, 0, 1]",0.586,"[8, 13, 17]",0.1966,"[15, 25, 33]",0.1367,"[27, 43, 51]",0.0656,"[52, 76, 79]",0.0151
s01,e01,frame_000006.png,"[7, 5, 5]",0.4075,"[21, 18, 19]",0.242,"[63, 55, 47]",0.1691,"[34, 32, 33]",0.15,"[91, 87, 98]",0.0314
s01,e01,frame_000007.png,"[5, 3, 3]",0.5122,"[32, 23, 19]",0.1777,"[55, 49, 46]",0.1489,"[85, 74, 63]",0.0991,"[61, 68, 79]",0.0621
s01,e01,frame_000008.png,"[8, 6, 5]",0.5551,"[29, 22, 17]",0.2648,"[60, 49, 41]",0.0881,"[140, 137, 155]",0.0631,"[113, 104, 106]",0.0289
s01,e01,frame_000009.png,"[20, 19, 16]",0.4207,"[6, 5, 4]",0.2182,"[38, 32, 28]",0.1871,"[64, 56, 47]",0.1183,"[88, 84, 74]",0.0557
s01,e01,frame_000010.png,"[21, 21, 19]",0.4537,"[8, 7, 6]",0.1992,"[39, 36, 34]",0.1833,"[63, 55, 48]",0.1102,"[89, 76, 68]",0.0536
s01,e01,frame_000011.png,"[21, 20, 18]",0.3758,"[8, 6, 5]",0.2804,"[37, 36, 34]",0.1497,"[95, 92, 78]",0.1026,"[69, 66, 55]",0.0915
s01,e01,frame_000012.png,"[12, 8, 4]",0.6883,"[28, 23, 17]",0.1273,"[43, 39, 34]",0.1075,"[48, 56, 66]",0.0695,"[137, 92, 49]",0.0074
s01,e01,frame_000013.png,"[23, 16, 14]",0.4247,"[6, 3, 2]",0.3462,"[39, 34, 33]",0.1216,"[55, 52, 53]",0.1054,"[131, 78, 28]",0.0021
s01,e01,frame_000014.png,"[2, 1, 1]",0.338,"[11, 10, 9]",0.1862,"[38, 38, 40]",0.1765,"[29, 30, 32]",0.1577,"[21, 20, 21]",0.1416
s01,e01,frame_000015.png,"[4, 2, 1]",0.6672,"[22, 20, 20]",0.2141,"[49, 43, 37]",0.0613,"[150, 83, 27]",0.0325,"[229, 145, 56]",0.0249
s01,e01,frame_000016.png,"[1, 1, 0]",0.5177,"[9, 9, 10]",0.2272,"[17, 18, 25]",0.1109,"[30, 37, 45]",0.0986,"[50, 60, 73]",0.0456
s01,e01,frame_000017.png,"[18, 14, 11]",0.3643,"[40, 34, 28]",0.2591,"[65, 48, 32]",0.1576,"[67, 60, 56]",0.1497,"[103, 93, 94]",0.0693
s01,e01,frame_000018.png,"[17, 13, 12]",0.3881,"[40, 34, 29]",0.3042,"[63, 55, 48]",0.2204,"[100, 88, 88]",0.0843,"[158, 186, 208]",0.003
s01,e01,frame_000019.png,"[19, 13, 12]",0.4338,"[62, 49, 36]",0.2909,"[86, 73, 65]",0.1972,"[103, 100, 105]",0.0679,"[165, 191, 212]",0.0102
s01,e01,frame_000020.png,"[0, 0, 0]",0.5919,"[14, 14, 10]",0.1927,"[44, 42, 37]",0.0867,"[90, 97, 114]",0.0743,"[64, 67, 77]",0.0544
s01,e01,frame_000021.png,"[0, 0, 0]",0.8407,"[15, 8, 2]",0.0832,"[72, 82, 91]",0.0289,"[32, 32, 26]",0.0264,"[49, 52, 50]",0.0208
s01,e01,frame_000022.png,"[0, 0, 0]",0.8216,"[13, 6, 2]",0.1019,"[76, 86, 95]",0.028,"[32, 32, 26]",0.0276,"[53, 56, 53]",0.0209
s01,e01,frame_000023.png,"[1, 0, 0]",0.6445,"[7, 6, 3]",0.2104,"[39, 40, 46]",0.0599,"[20, 20, 18]",0.0471,"[51, 55, 64]",0.0381
s01,e01,frame_000024.png,"[1, 0, 0]",0.5941,"[10, 7, 5]",0.2001,"[23, 17, 13]",0.1441,"[44, 29, 19]",0.044,"[63, 47, 36]",0.0177
s01,e01,frame_000025.png,"[21, 14, 7]",0.677,"[47, 34, 23]",0.1781,"[82, 61, 47]",0.0897,"[134, 112, 95]",0.0336,"[177, 178, 169]",0.0216
s01,e01,frame_000026.png,"[9, 5, 1]",0.5055,"[36, 21, 10]",0.263,"[67, 44, 28]",0.1464,"[121, 91, 71]",0.0518,"[174, 174, 161]",0.0333
s01,e01,frame_000027.png,"[16, 9, 3]",0.4485,"[69, 50, 36]",0.2428,"[39, 26, 16]",0.1767,"[103, 80, 67]",0.0879,"[167, 162, 150]",0.0441
s01,e01,frame_000028.png,"[4, 2, 1]",0.4783,"[15, 12, 10]",0.4674,"[46, 38, 34]",0.0397,"[108, 92, 90]",0.0099,"[208, 191, 185]",0.0047
s01,e01,frame_000029.png,"[5, 2, 1]",0.4938,"[13, 11, 10]",0.3859,"[32, 33, 37]",0.0876,"[84, 71, 66]",0.0248,"[144, 126, 123]",0.0079
s01,e01,frame_000030.png,"[0, 1, 1]",0.6498,"[6, 13, 15]",0.1484,"[16, 32, 47]",0.0842,"[28, 58, 88]",0.0659,"[43, 95, 149]",0.0517
s01,e01,frame_000031.png,"[8, 5, 3]",0.6831,"[28, 19, 13]",0.2156,"[54, 42, 33]",0.0685,"[100, 81, 69]",0.0239,"[175, 169, 159]",0.0089
s01,e01,frame_000032.png,"[1, 0, 0]",0.4562,"[18, 12, 7]",0.2044,"[34, 25, 20]",0.1285,"[49, 42, 38]",0.1181,"[71, 65, 63]",0.0928
s01,e01,frame_000033.png,"[0, 1, 1]",0.5732,"[7, 14, 15]",0.2146,"[14, 24, 28]",0.2004,"[77, 165, 181]",0.0074,"[38, 79, 104]",0.0044
s01,e01,frame_000034.png,"[2, 1, 0]",0.6042,"[12, 9, 7]",0.1777,"[17, 19, 19]",0.1617,"[31, 24, 20]",0.0365,"[44, 39, 39]",0.0199
s01,e01,frame_000035.png,"[2, 1, 1]",0.4725,"[8, 8, 5]",0.2315,"[17, 15, 12]",0.141,"[40, 40, 37]",0.0853,"[29, 28, 22]",0.0697
s01,e01,frame_000036.png,"[1, 0, 0]",0.4169,"[17, 10, 8]",0.2094,"[32, 25, 24]",0.1977,"[48, 39, 39]",0.139,"[68, 69, 77]",0.037
s01,e01,frame_000037.png,"[5, 4, 5]",0.3257,"[16, 11, 9]",0.2973,"[69, 73, 82]",0.1809,"[38, 31, 27]",0.1726,"[92, 56, 44]",0.0235
s01,e01,frame_000038.png,"[5, 2, 2]",0.3022,"[24, 19, 18]",0.2799,"[36, 31, 32]",0.2372,"[51, 48, 54]",0.0999,"[71, 65, 73]",0.0808
s01,e01,frame_000039.png,"[8, 6, 7]",0.5791,"[23, 17, 15]",0.1607,"[69, 73, 81]",0.15,"[38, 33, 31]",0.0887,"[94, 55, 43]",0.0215
s01,e01,frame_000040.png,"[16, 15, 15]",0.3471,"[6, 4, 5]",0.3245,"[24, 24, 25]",0.2135,"[43, 44, 49]",0.0691,"[66, 69, 81]",0.0458
s01,e01,frame_000041.png,"[201, 134, 73]",0.2896,"[226, 168, 102]",0.2295,"[169, 102, 49]",0.2171,"[131, 69, 31]",0.1792,"[81, 33, 13]",0.0846
s01,e01,frame_000042.png,"[156, 112, 75]",0.2683,"[109, 62, 29]",0.2308,"[136, 82, 47]",0.2238,"[76, 34, 10]",0.1853,"[31, 9, 1]",0.0918
s01,e01,frame_000043.png,"[33, 16, 1]",0.3812,"[6, 0, 0]",0.2957,"[57, 31, 8]",0.1927,"[104, 68, 37]",0.1006,"[182, 122, 69]",0.0298
s01,e01,frame_000044.png,"[6, 2, 1]",0.4246,"[39, 28, 14]",0.4125,"[60, 43, 24]",0.0982,"[81, 61, 38]",0.0515,"[123, 91, 63]",0.0132
s01,e01,frame_000045.png,"[255, 250, 212]",0.3458,"[152, 90, 52]",0.3451,"[207, 122, 70]",0.1183,"[254, 219, 168]",0.114,"[244, 160, 104]",0.0768
s01,e01,frame_000046.png,"[254, 230, 203]",0.262,"[252, 199, 166]",0.2149,"[138, 71, 29]",0.1963,"[200, 122, 68]",0.1856,"[236, 166, 122]",0.1412
s01,e01,frame_000047.png,"[3, 3, 4]",0.53,"[15, 19, 17]",0.2952,"[33, 37, 38]",0.1452,"[57, 62, 68]",0.028,"[194, 191, 181]",0.0016
s01,e01,frame_000048.png,"[15, 15, 18]",0.4276,"[6, 6, 6]",0.3256,"[26, 27, 34]",0.1753,"[56, 63, 66]",0.0608,"[143, 153, 157]",0.0107
s01,e01,frame_000049.png,"[13, 10, 13]",0.5248,"[28, 23, 27]",0.3293,"[46, 47, 51]",0.1044,"[206, 215, 211]",0.0254,"[132, 119, 88]",0.0161
s01,e01,frame_000050.png,"[3, 2, 1]",0.5003,"[20, 20, 12]",0.1546,"[45, 39, 20]",0.1445,"[33, 3, 3]",0.1286,"[55, 60, 47]",0.072
s01,e01,frame_000051.png,"[5, 4, 1]",0.501,"[25, 27, 21]",0.2581,"[33, 7, 2]",0.1061,"[65, 58, 54]",0.0835,"[101, 99, 110]",0.0513
s01,e01,frame_000052.png,"[40, 42, 34]",0.2383,"[138, 143, 170]",0.2283,"[69, 74, 75]",0.2101,"[106, 110, 123]",0.1824,"[12, 8, 3]",0.1409
s01,e01,frame_000053.png,"[11, 2, 1]",0.4501,"[52, 3, 0]",0.2745,"[38, 46, 42]",0.1422,"[69, 97, 99]",0.1138,"[173, 194, 201]",0.0194
s01,e01,frame_000054.png,"[8, 7, 8]",0.6673,"[30, 31, 46]",0.1406,"[69, 73, 97]",0.1177,"[116, 123, 152]",0.0605,"[226, 233, 244]",0.0139
s01,e01,frame_000055.png,"[5, 4, 5]",0.6329,"[39, 40, 46]",0.2027,"[75, 76, 87]",0.0774,"[240, 240, 245]",0.0458,"[149, 148, 159]",0.0412
s01,e01,frame_000056.png,"[5, 3, 4]",0.5304,"[23, 21, 21]",0.2636,"[48, 47, 53]",0.1473,"[110, 99, 101]",0.0448,"[201, 204, 204]",0.0139
s01,e01,frame_000057.png,"[0, 0, 0]",0.9929,"[34, 34, 34]",0.0023,"[205, 205, 205]",0.0021,"[75, 75, 75]",0.0014,"[146, 146, 146]",0.0013
s01,e01,frame_000058.png,"[18, 8, 2]",0.3899,"[5, 0, 0]",0.3599,"[33, 21, 13]",0.1563,"[53, 39, 28]",0.0776,"[95, 75, 68]",0.0163
s01,e01,frame_000059.png,"[49, 33, 21]",0.3629,"[74, 58, 44]",0.2712,"[18, 9, 3]",0.2582,"[103, 90, 79]",0.0777,"[172, 156, 148]",0.03
s01,e01,frame_000060.png,"[11, 9, 8]",0.4859,"[29, 23, 20]",0.3073,"[59, 44, 34]",0.1234,"[95, 73, 59]",0.0575,"[145, 117, 108]",0.0259
s01,e01,frame_000061.png,"[1, 1, 1]",0.4844,"[18, 16, 10]",0.3264,"[39, 36, 29]",0.1185,"[60, 65, 61]",0.0521,"[106, 98, 88]",0.0186
s01,e01,frame_000062.png,"[22, 2, 5]",0.607,"[35, 23, 83]",0.1172,"[71, 74, 210]",0.098,"[150, 215, 248]",0.0965,"[124, 24, 9]",0.0813
s01,e01,frame_000063.png,"[7, 1, 1]",0.6823,"[41, 21, 18]",0.1425,"[84, 61, 47]",0.0844,"[134, 120, 99]",0.0716,"[234, 231, 223]",0.0192
s01,e01,frame_000064.png,"[7, 3, 1]",0.5513,"[45, 30, 20]",0.2164,"[89, 72, 52]",0.1429,"[142, 130, 109]",0.0676,"[235, 230, 211]",0.0218
s01,e01,frame_000065.png,"[10, 3, 1]",0.5216,"[47, 24, 18]",0.3232,"[93, 61, 51]",0.1089,"[156, 115, 93]",0.0305,"[235, 226, 216]",0.0158
s01,e01,frame_000066.png,"[3, 1, 0]",0.5961,"[35, 20, 14]",0.2895,"[64, 40, 48]",0.0821,"[131, 100, 90]",0.0223,"[195, 176, 167]",0.01
s01,e01,frame_000067.png,"[6, 2, 0]",0.5425,"[41, 25, 19]",0.3331,"[73, 47, 61]",0.0795,"[142, 108, 87]",0.0334,"[208, 189, 157]",0.0115
s01,e01,frame_000068.png,"[13, 7, 5]",0.6717,"[45, 26, 25]",0.2347,"[112, 63, 57]",0.0485,"[73, 26, 166]",0.0367,"[228, 194, 181]",0.0084
s01,e01,frame_000069.png,"[9, 4, 4]",0.4821,"[54, 29, 19]",0.2557,"[40, 20, 92]",0.1235,"[65, 57, 200]",0.074,"[120, 82, 54]",0.0647
s01,e01,frame_000070.png,"[8, 3, 2]",0.5675,"[38, 26, 22]",0.306,"[85, 63, 52]",0.1009,"[220, 211, 164]",0.0149,"[94, 103, 225]",0.0107
s01,e01,frame_000071.png,"[10, 6, 2]",0.5583,"[44, 26, 31]",0.2775,"[51, 32, 131]",0.0715,"[117, 87, 60]",0.0669,"[120, 96, 212]",0.0258
s01,e01,frame_000072.png,"[11, 6, 3]",0.5723,"[34, 20, 60]",0.1697,"[63, 39, 20]",0.1425,"[121, 92, 68]",0.0606,"[85, 74, 209]",0.0549
s01,e01,frame_000073.png,"[18, 9, 7]",0.672,"[59, 34, 17]",0.2099,"[118, 93, 55]",0.0687,"[197, 168, 105]",0.0247,"[33, 13, 140]",0.0247
s01,e01,frame_000074.png,"[3, 4, 4]",0.6305,"[21, 24, 25]",0.2038,"[59, 66, 63]",0.0826,"[123, 126, 125]",0.0619,"[201, 201, 201]",0.0212
s01,e01,frame_000075.png,"[4, 5, 5]",0.5167,"[20, 21, 21]",0.2737,"[45, 52, 51]",0.1078,"[87, 94, 91]",0.0674,"[169, 170, 170]",0.0344
s01,e01,frame_000076.png,"[2, 2, 2]",0.4359,"[12, 13, 14]",0.2789,"[27, 29, 30]",0.1885,"[63, 72, 70]",0.073,"[126, 130, 129]",0.0237
s01,e01,frame_000077.png,"[1, 0, 1]",0.5341,"[12, 12, 14]",0.2494,"[27, 29, 32]",0.1831,"[46, 53, 52]",0.0288,"[96, 102, 102]",0.0046
s01,e01,frame_000078.png,"[0, 0, 0]",0.9418,"[44, 57, 64]",0.0241,"[30, 38, 42]",0.0183,"[11, 17, 18]",0.0093,"[63, 80, 89]",0.0065
s01,e01,frame_000079.png,"[1, 1, 0]",0.6344,"[18, 14, 12]",0.246,"[39, 46, 42]",0.068,"[93, 101, 93]",0.0353,"[164, 174, 160]",0.0163
s01,e01,frame_000080.png,"[0, 0, 0]",0.749,"[6, 9, 9]",0.125,"[16, 20, 20]",0.0708,"[31, 38, 39]",0.0406,"[60, 72, 72]",0.0146
s01,e01,frame_000081.png,"[0, 0, 0]",0.6971,"[9, 9, 8]",0.1503,"[78, 102, 104]",0.0576,"[63, 76, 75]",0.0495,"[33, 37, 37]",0.0455
s01,e01,frame_000082.png,"[0, 0, 1]",0.7815,"[9, 11, 10]",0.1015,"[23, 31, 31]",0.0656,"[43, 58, 61]",0.0264,"[61, 84, 87]",0.025
s01,e01,frame_000083.png,"[0, 0, 1]",0.6745,"[17, 16, 16]",0.1166,"[39, 44, 44]",0.0854,"[69, 91, 93]",0.075,"[92, 122, 122]",0.0485
s01,e01,frame_000084.png,"[0, 0, 0]",0.7924,"[6, 11, 10]",0.1268,"[3, 5, 4]",0.0671,"[29, 31, 34]",0.0115,"[73, 83, 92]",0.0022
s01,e01,frame_000085.png,"[0, 1, 2]",0.6125,"[14, 24, 28]",0.2157,"[43, 72, 77]",0.0874,"[66, 107, 119]",0.0781,"[164, 181, 181]",0.0063
s01,e01,frame_000086.png,"[0, 0, 0]",0.4858,"[13, 21, 26]",0.2455,"[5, 11, 13]",0.202,"[38, 45, 46]",0.0501,"[67, 78, 85]",0.0166
s01,e01,frame_000087.png,"[0, 0, 2]",0.8464,"[5, 11, 14]",0.0943,"[14, 25, 28]",0.0404,"[56, 76, 81]",0.0117,"[169, 183, 182]",0.0072
s01,e01,frame_000088.png,"[0, 1, 2]",0.8017,"[22, 29, 39]",0.0872,"[43, 63, 75]",0.0629,"[75, 111, 122]",0.0409,"[125, 177, 180]",0.0073
s01,e01,frame_000089.png,"[1, 2, 3]",0.6132,"[20, 29, 37]",0.1662,"[45, 65, 76]",0.1008,"[74, 109, 120]",0.0909,"[104, 151, 161]",0.0289
s01,e01,frame_000090.png,"[1, 1, 3]",0.6032,"[23, 33, 42]",0.1523,"[45, 68, 77]",0.0905,"[68, 102, 115]",0.0886,"[91, 136, 150]",0.0654
s01,e01,frame_000091.png,"[10, 8, 9]",0.4872,"[31, 31, 36]",0.2339,"[94, 110, 125]",0.1332,"[63, 68, 75]",0.127,"[154, 169, 176]",0.0187
s01,e01,frame_000092.png,"[1, 0, 0]",0.4615,"[13, 10, 8]",0.2932,"[29, 27, 31]",0.1214,"[50, 48, 49]",0.0769,"[75, 76, 79]",0.047
s01,e01,frame_000093.png,"[4, 2, 1]",0.4618,"[25, 31, 44]",0.1744,"[23, 17, 19]",0.1684,"[61, 67, 70]",0.107,"[57, 43, 35]",0.0884
s01,e01,frame_000094.png,"[4, 2, 2]",0.4944,"[29, 23, 21]",0.2421,"[57, 52, 50]",0.1842,"[78, 92, 103]",0.073,"[222, 221, 221]",0.0063
s01,e01,frame_000095.png,"[4, 3, 3]",0.4851,"[27, 22, 21]",0.2845,"[52, 50, 51]",0.1426,"[81, 95, 108]",0.0753,"[173, 181, 187]",0.0125
s01,e01,frame_000096.png,"[11, 9, 9]",0.3514,"[31, 30, 34]",0.2085,"[68, 82, 101]",0.1931,"[52, 55, 62]",0.187,"[91, 114, 141]",0.06
s01,e01,frame_000097.png,"[5, 4, 3]",0.4823,"[23, 19, 18]",0.2919,"[49, 47, 45]",0.1401,"[76, 93, 107]",0.0589,"[116, 137, 153]",0.0268
s01,e01,frame_000098.png,"[1, 0, 0]",0.6504,"[15, 11, 11]",0.1863,"[33, 27, 27]",0.078,"[51, 51, 53]",0.0523,"[76, 79, 82]",0.033
s01,e01,frame_000099.png,"[4, 3, 3]",0.4416,"[19, 15, 15]",0.2586,"[59, 73, 90]",0.1545,"[42, 41, 47]",0.0973,"[88, 109, 133]",0.048
s01,e01,frame_000100.png,"[8, 6, 6]",0.6166,"[55, 69, 85]",0.1543,"[34, 29, 34]",0.1309,"[83, 103, 127]",0.0655,"[90, 65, 57]",0.0327
s01,e01,frame_000101.png,"[5, 3, 1]",0.6053,"[16, 16, 18]",0.2422,"[45, 37, 35]",0.0798,"[89, 69, 58]",0.0483,"[63, 75, 81]",0.0244
s01,e01,frame_000102.png,"[1, 0, 0]",0.3763,"[11, 9, 6]",0.3428,"[19, 19, 21]",0.1862,"[84, 74, 69]",0.0481,"[54, 46, 44]",0.0466
s01,e01,frame_000103.png,"[7, 4, 2]",0.7824,"[32, 28, 22]",0.1384,"[51, 47, 41]",0.056,"[75, 73, 65]",0.0191,"[128, 118, 114]",0.0041
s01,e01,frame_000104.png,"[18, 15, 10]",0.3794,"[5, 3, 1]",0.3575,"[28, 24, 19]",0.1629,"[46, 42, 36]",0.0788,"[76, 72, 67]",0.0214
s01,e01,frame_000105.png,"[2, 1, 1]",0.5924,"[15, 13, 11]",0.227,"[29, 26, 23]",0.1457,"[64, 61, 60]",0.0305,"[139, 140, 136]",0.0044
s01,e01,frame_000106.png,"[1, 1, 3]",0.7311,"[8, 7, 8]",0.1917,"[28, 23, 22]",0.055,"[49, 42, 43]",0.0123,"[72, 63, 64]",0.0099
s01,e01,frame_000107.png,"[1, 1, 0]",0.4431,"[10, 6, 3]",0.2664,"[19, 15, 10]",0.1976,"[29, 24, 21]",0.0719,"[63, 58, 60]",0.021
s01,e01,frame_000108.png,"[1, 0, 2]",0.7792,"[21, 21, 21]",0.0859,"[48, 49, 51]",0.0605,"[84, 86, 87]",0.0515,"[133, 133, 135]",0.0229
s01,e01,frame_000109.png,"[2, 0, 4]",0.4726,"[10, 9, 10]",0.4046,"[31, 29, 30]",0.0561,"[53, 52, 55]",0.0504,"[111, 102, 102]",0.0163
s01,e01,frame_000110.png,"[3, 2, 4]",0.7138,"[28, 26, 28]",0.1414,"[59, 56, 59]",0.0786,"[101, 97, 104]",0.0537,"[188, 188, 190]",0.0125
s01,e01,frame_000111.png,"[3, 2, 4]",0.7575,"[25, 23, 23]",0.1201,"[55, 51, 53]",0.0745,"[92, 89, 91]",0.0363,"[193, 193, 194]",0.0116
s01,e01,frame_000112.png,"[4, 3, 5]",0.7649,"[28, 26, 26]",0.1191,"[60, 57, 58]",0.074,"[101, 99, 102]",0.0304,"[204, 205, 206]",0.0116
s01,e01,frame_000113.png,"[2, 1, 4]",0.626,"[9, 7, 10]",0.2286,"[33, 32, 34]",0.0681,"[58, 58, 61]",0.0668,"[128, 123, 123]",0.0105
s01,e01,frame_000114.png,"[16, 14, 13]",0.3999,"[2, 2, 1]",0.342,"[32, 30, 30]",0.1852,"[65, 63, 64]",0.0581,"[137, 135, 139]",0.0148
s01,e01,frame_000115.png,"[4, 3, 2]",0.4717,"[18, 16, 15]",0.3459,"[33, 31, 32]",0.1392,"[66, 63, 62]",0.038,"[151, 148, 151]",0.0052
s01,e01,frame_000116.png,"[1, 0, 0]",0.5066,"[14, 13, 14]",0.4112,"[38, 27, 26]",0.0323,"[85, 73, 72]",0.0253,"[61, 48, 45]",0.0246
s01,e01,frame_000117.png,"[1, 0, 3]",0.5571,"[12, 11, 13]",0.2618,"[26, 23, 24]",0.1322,"[54, 48, 49]",0.0346,"[96, 87, 89]",0.0143
s01,e01,frame_000118.png,"[2, 0, 3]",0.6793,"[13, 11, 13]",0.188,"[30, 25, 27]",0.0879,"[56, 48, 50]",0.0305,"[88, 81, 83]",0.0143
s01,e01,frame_000119.png,"[1, 0, 0]",0.528,"[11, 10, 10]",0.2358,"[18, 16, 18]",0.1731,"[54, 41, 38]",0.0362,"[84, 71, 69]",0.0269
s01,e01,frame_000120.png,"[2, 0, 4]",0.6615,"[13, 11, 13]",0.1977,"[31, 25, 27]",0.0871,"[60, 51, 51]",0.0378,"[102, 92, 94]",0.0159
s01,e01,frame_000121.png,"[0, 0, 0]",0.568,"[19, 17, 18]",0.2071,"[11, 9, 10]",0.1782,"[53, 42, 40]",0.0362,"[104, 88, 83]",0.0105
s01,e01,frame_000122.png,"[2, 0, 4]",0.7215,"[16, 12, 13]",0.1596,"[36, 30, 32]",0.0756,"[65, 59, 60]",0.0306,"[102, 93, 94]",0.0127
s01,e01,frame_000123.png,"[2, 0, 4]",0.7229,"[14, 10, 12]",0.1256,"[30, 25, 26]",0.095,"[55, 48, 49]",0.0391,"[92, 84, 85]",0.0174
s01,e01,frame_000124.png,"[4, 3, 5]",0.5421,"[20, 20, 23]",0.2489,"[48, 50, 53]",0.1304,"[90, 93, 99]",0.0543,"[246, 246, 246]",0.0243
s01,e01,frame_000125.png,"[0, 0, 0]",0.6945,"[9, 8, 9]",0.1322,"[21, 19, 22]",0.1115,"[37, 37, 39]",0.0445,"[61, 62, 64]",0.0173
s01,e01,frame_000126.png,"[0, 0, 0]",0.5933,"[9, 8, 9]",0.1892,"[21, 20, 21]",0.1277,"[33, 34, 35]",0.0745,"[64, 64, 66]",0.0153
s01,e01,frame_000127.png,"[4, 5, 4]",0.4293,"[11, 11, 11]",0.4157,"[28, 23, 22]",0.1016,"[55, 41, 37]",0.0305,"[92, 71, 66]",0.0229
s01,e01,frame_000128.png,"[2, 2, 2]",0.4696,"[13, 14, 18]",0.4061,"[22, 25, 29]",0.1033,"[158, 158, 158]",0.0138,"[63, 65, 69]",0.0072
s01,e01,frame_000129.png,"[5, 4, 3]",0.2314,"[92, 99, 104]",0.2285,"[70, 76, 80]",0.2183,"[50, 54, 57]",0.1951,"[33, 31, 32]",0.1267
s01,e01,frame_000130.png,"[3, 3, 3]",0.513,"[51, 52, 55]",0.1701,"[70, 74, 78]",0.1473,"[32, 32, 33]",0.1422,"[100, 106, 114]",0.0274
s01,e01,frame_000131.png,"[2, 1, 1]",0.5584,"[72, 76, 80]",0.1473,"[19, 14, 10]",0.1214,"[38, 32, 32]",0.0935,"[56, 56, 59]",0.0794
s01,e01,frame_000132.png,"[1, 1, 1]",0.4564,"[13, 12, 14]",0.2734,"[31, 31, 34]",0.2019,"[63, 66, 75]",0.0645,"[151, 152, 163]",0.0038
s01,e01,frame_000133.png,"[2, 2, 2]",0.4062,"[11, 10, 10]",0.3041,"[24, 20, 22]",0.1737,"[44, 37, 37]",0.095,"[74, 72, 77]",0.021
s01,e01,frame_000134.png,"[10, 11, 12]",0.6159,"[2, 2, 4]",0.2469,"[32, 26, 26]",0.1018,"[83, 65, 60]",0.0304,"[166, 160, 156]",0.005
s01,e01,frame_000135.png,"[28, 28, 31]",0.3638,"[1, 0, 0]",0.2985,"[15, 13, 12]",0.1997,"[45, 43, 44]",0.1097,"[96, 81, 81]",0.0283
s01,e01,frame_000136.png,"[10, 10, 13]",0.5952,"[2, 1, 3]",0.2706,"[29, 23, 24]",0.0997,"[74, 57, 52]",0.0333,"[148, 135, 126]",0.0012
s01,e01,frame_000137.png,"[2, 1, 1]",0.4442,"[10, 9, 9]",0.3047,"[22, 18, 21]",0.1525,"[45, 36, 35]",0.0798,"[67, 63, 69]",0.0188
s01,e01,frame_000138.png,"[10, 10, 12]",0.5895,"[2, 2, 4]",0.2968,"[33, 26, 26]",0.0686,"[76, 60, 54]",0.0404,"[169, 164, 161]",0.0047
